SMD component position file.

Centroid Data for pc board: "pp_module_rev_c.brd" as of: 10/29/13 3:04 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,-0.075,0.838,180
C2,Top,2.219,-0.463,270
C3,Top,2.333,-0.449,90
C4,Top,0.362,0.838,0
C5,Top,2.321,0.472,90
C6,Top,-0.525,-0.750,180
C7,Top,-0.756,-0.750,180
C8,Top,2.036,0.476,90
C9,Top,1.538,-0.206,270
C10,Top,0.037,-0.825,0
C11,Top,2.694,-0.463,270
C12,Top,3.869,-0.188,270
C13,Top,2.062,-1.087,180
C18,Top,2.962,0.031,270
C22,Top,-0.181,-1.938,180
C23,Top,-0.044,-1.938,180
C24,Top,0.956,-1.981,180
C25,Top,1.100,-1.413,180
C26,Top,0.062,-1.188,0
C27,Top,0.000,-1.413,180
C28,Top,-0.025,-1.788,270
C29,Top,0.225,-2.081,180
C30,Top,0.906,-1.881,0
C31,Top,0.906,-1.288,0
C32,Top,0.000,-1.494,180
C33,Top,-0.406,-1.525,180
C34,Top,-0.400,-1.738,180
C36,Top,-0.756,-1.906,0
CLK_LED,Bottom,5.931,0.312,0
D1,Top,3.081,-0.319,90
D2,Top,3.594,-0.556,0
IC1,Top,1.731,-0.463,0
IC2,Top,-0.831,-0.438,0
IC3,Top,2.535,-0.464,0
IC4,Top,2.067,-0.464,180
IC5,Top,1.872,0.479,90
IC6,Top,3.050,0.037,0
IC7,Top,0.469,-1.600,270
IC9,Top,-0.869,-1.606,180
IC11,Top,2.176,0.483,90
L1,Top,-0.181,-2.025,0
MODE_LED,Bottom,3.470,0.303,0
Q1,Top,-0.064,0.211,180
Q2,Top,2.981,-0.494,180
R1,Top,3.194,-0.319,270
R2,Top,2.944,-0.319,270
R3,Top,2.175,0.581,0
R4,Top,3.163,-0.537,0
R5,Top,1.875,0.581,0
R6,Top,2.755,-1.508,270
R7,Top,2.904,-1.508,270
R8,Top,3.028,-1.508,270
R9,Top,0.356,-1.100,90
R10,Top,3.438,-0.556,0
R11,Top,2.325,-0.644,0
R12,Top,2.075,-0.706,0
R13,Top,-0.044,-2.025,180
R14,Top,2.325,-0.725,180
R15,Top,3.638,0.125,90
R16,Top,-0.219,-1.031,0
R17,Top,-0.412,-0.981,0
R18,Top,-0.412,-0.894,0
R19,Top,0.106,-1.044,0
R20,Top,0.237,-0.775,270
R21,Top,0.338,-0.775,270
R22,Top,2.875,0.494,90
R23,Top,3.081,0.206,90
R24,Top,2.062,-1.188,180
R27,Top,-0.544,-1.606,270
R28,Top,0.037,-1.294,0
R29,Top,-0.469,-1.087,90
R30,Top,-0.369,-1.087,90
SEQ_LED,Bottom,-0.769,-1.000,0
FIDUCIAL,Top,4.425,-0.769,0
U$2,Top,2.043,0.184,270
U$4,Top,3.594,-0.194,0
FIDUCIAL,Top,-1.056,-2.119,0
FIDUCIAL,Top,0.975,0.575,0
U$33,Top,0.097,-0.372,180
Y1,Top,-0.220,-1.627,270
