Designator,Value,Package,Mounting,Part Number,Supplier,Qty
"C1, C4, C10","100uF","Panasonic D","SMT","PCE3951TR-ND","Digikey","3"
"C34, C33","22pF","0603","SMT","445-1273-2-ND","Digikey","2"
"C6, C24, C25, C3","10uF","1206","SMT","399-3687-2-ND","Digikey","4"
"C7, C27, C28, C29, C30, C22, C26, C31, C32, C23, C36, C5, C8, C9, C2, C11, C12, C18, C13",".1uF","0603","SMT","478-1239-2-ND","Digikey","19"
"D1, D2","1N914BWSTR","SOD-323","SMT","1N914BWSTR-ND","Digikey","2"
"IC1","SN74HCT125DR","14-SOIC","SMT","296-1206-2-ND","Digikey","1"
"IC11, IC5, IC6","74HCT1G125GV","SOT753","SMT","568-7746-1-ND	","Digikey","3"
"IC2","LM1117IMP-3.3","","SMT","LM1117IMP-3.3CT-ND","Digikey","1"
"IC3","LM358DRG4","8-SOIC","SMT","296-31668-1-ND	","Digikey","1"
"IC4","MCP4821","8-SOIC","SMT","MCP4821-E/SN-ND","Digikey","1"
"IC7","STM32F407VGT6","","SMT","497-12075-ND","Digikey","1"
"IC9","MAX708","","SMT","MAX708SESA-TGOSCT-ND","Digikey","1"
"L1","10uH","0603","SMT","445-3166-1-ND","Digikey","1"
"Q1","MOSFET-PCHANNEL","","SMT","FQB27P06TMCT-ND","Digikey","1"
"Q2","NPN TRANSISTOR","SOT-23","SMT","MMBT2222ATPMSCT-ND","Digikey","1"
"R10, R15, R22, R23","220","0603","SMT","P220GTR-ND ","Digikey","4"
"R13, R11","4.7K","0603","SMT","P4.7KGTR-ND","Digikey","2"
"R14","","","","","","1"
"R16, R17, R18, R19, R20, R21, R9, R6, R7, R8, R1, R2, R4","1K","0603","SMT","P1.0KGTR-ND","Digikey","13"
"R27, R28, R29, R30, R12, R24","10K","0603","SMT","        P10KGTR-ND","Digikey","6"
"R3, R5","1K","0603","SMT","P1.0KGTR-ND ","Digikey","2"
"RATE, RANGE, TUNE, DUR, GLIDE","10K","","PTH","987-1649-ND","Digikey","5"
"SEQ_LED, CLK_LED, MODE_LED","RGB LED","5050","SMT","5050-RGB","Wisdom Science &amp; Technology (HK) Co.,Ltd","3"
"U$2","10K","","SMT","987-1030-1-ND","Digikey","1"
"U$33","16 PIN HEADER","SMT-16","SMT","MSH16ETR-ND","Digikey","1"
"U$4","6N138S","8SMD","SMT","160-1798-2-ND ","Digikey","1"
"Y1","8MHz","SMT","SMT","535-10870-1-ND","Digikey","1"

